Component	Dif(1e-5 cm^2/s)	Fitting_error(1e-5 cm^2/s)
MSD_folded3	0.0067	0.0013
MSD_folded4	0.0046	0.0004
MSD_folded18	0.0040	0.0008
MSD_folded31	0.0047	0.0008
MSD_folded32	0.0057	0.0016
MSD_folded34	0.0041	0.0004
MSD_folded35	0.0057	0.0011
MSD_folded40	0.0055	0.0010
MSD_folded41	0.0062	0.0017
MSD_folded46	0.0045	0.0008
MSD_folded52	0.0061	0.0019
MSD_folded53	0.0045	0.0000
MSD_folded54	0.0042	0.0018
MSD_folded55	0.0041	0.0014
MSD_folded58	0.0038	0.0017
MSD_folded60	0.0055	0.0018
MSD_folded64	0.0053	0.0015
MSD_folded69	0.0057	0.0015
MSD_folded70	0.0044	0.0014
MSD_folded71	0.0055	0.0006
MSD_folded72	0.0063	0.0009
MSD_folded80	0.0044	0.0016
MSD_folded82	0.0043	0.0013
MSD_folded85	0.0083	0.0009
MSD_folded87	0.0060	0.0017
MSD_folded91	0.0045	0.0016
MSD_folded93	0.0053	0.0001
MSD_folded96	0.0052	0.0016
MSD_folded100	0.0044	0.0012
