Component	Dif(1e-5 cm^2/s)	Fitting_error(1e-5 cm^2/s)
msd_CDD1	0.0004	0.0001
msd_CDD2	0.0094	0.0021
msd_CDD3	0.0070	0.0000
msd_CDD4	0.0011	0.0004
msd_CDD5	0.0071	0.0003
msd_CDD6	0.0061	0.0032
msd_CDD7	0.0054	0.0015
msd_CDD8	0.0069	0.0005
msd_CDD9	0.0019	0.0001
msd_CDD10	0.0031	0.0006
msd_CDD11	0.0027	0.0001
msd_CDD12	0.0028	0.0000
msd_CDD13	0.0018	0.0009
msd_CDD14	0.0051	0.0016
msd_CDD15	0.0027	0.0002
msd_CDD16	0.0033	0.0003
msd_CDD17	0.0009	0.0002
msd_CDD18	0.0020	0.0005
msd_CDD19	0.0009	0.0000
msd_CDD20	0.0053	0.0007
msd_CDD21	0.0046	0.0018
msd_CDD22	0.0055	0.0007
msd_CDD23	0.0057	0.0021
msd_CDD24	0.0045	0.0001
msd_CDD25	0.0057	0.0007
msd_CDD26	0.0073	0.0005
msd_CDD27	0.0087	0.0020
msd_CDD28	0.0065	0.0034
msd_CDD29	0.0053	0.0006
msd_CDD30	0.0049	0.0019
msd_CDD31	0.0050	0.0001
msd_CDD32	0.0022	0.0011
msd_CDD33	0.0060	0.0018
