Component	Dif(1e-5 cm^2/s)	Fitting_error(1e-5 cm^2/s)
msd_NtDD1	0.0019	0.0000
msd_NtDD2	0.0070	0.0005
msd_NtDD3	0.0036	0.0002
msd_NtDD4	0.0024	0.0001
msd_NtDD5	0.0050	0.0005
msd_NtDD6	0.0039	0.0015
msd_NtDD7	0.0049	0.0004
msd_NtDD8	0.0033	0.0001
msd_NtDD9	0.0048	0.0003
msd_NtDD10	0.0031	0.0001
msd_NtDD11	0.0050	0.0000
msd_NtDD12	0.0036	0.0000
msd_NtDD13	0.0037	0.0013
msd_NtDD14	0.0043	0.0022
msd_NtDD15	0.0014	0.0003
msd_NtDD16	0.0046	0.0001
msd_NtDD17	0.0031	0.0010
msd_NtDD18	0.0040	0.0002
msd_NtDD19	0.0050	0.0002
msd_NtDD20	0.0066	0.0003
msd_NtDD21	0.0058	0.0024
msd_NtDD22	0.0076	0.0005
msd_NtDD23	0.0027	0.0006
msd_NtDD24	0.0073	0.0004
msd_NtDD25	0.0072	0.0018
msd_NtDD26	0.0068	0.0019
msd_NtDD27	0.0048	0.0007
msd_NtDD28	0.0048	0.0015
msd_NtDD29	0.0059	0.0013
msd_NtDD30	0.0066	0.0014
msd_NtDD31	0.0049	0.0004
msd_NtDD32	0.0037	0.0009
msd_NtDD33	0.0048	0.0005
